1st_flr_sf,3ssn_porch,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmtfin_type_1,enclosed_porch,exter_qual,exterior_1st,exterior_2nd,fireplace_qu,fireplaces,foundation,full_bath,garage_area,garage_finish,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating_qc,house_style,id,kitchen_qual,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_qual,pool_area,roof_style,saleprice,screen_porch,total_bsmt_sf,wood_deck_sf,year_built,year_remod/add,yr_sold
1104,0,Av,1.0,TA,Unf,0,TA,Wd Sdng,Wd Sdng,TA,2,CBlock,1,304.0,Unf,Attchd,1957.0,1788,0,Ex,1.5Fin,782,TA,11250,Inside,68.0,Reg,0.0,None,50,RL,ClearCr,0,4,0,Gable,161500,0,1104.0,120,1957,1989,2009
1344,0,No,0.0,TA,GLQ,0,TA,HdBoard,HdBoard,Gd,1,CBlock,1,525.0,RFn,Basment,1958.0,1344,0,Gd,SLvl,956,Gd,14375,CulDSac,68.0,IR1,541.0,BrkFace,20,RL,Timber,118,6,0,Gable,137500,233,819.0,0,1958,1958,2009
1128,0,Mn,0.0,TA,Unf,18,TA,MetalSd,MetalSd,None,0,BrkTil,2,0.0,None,None,0.0,2256,0,Fa,2Story,187,Fa,9045,Inside,100.0,Reg,0.0,None,190,RM,OldTown,18,5,0,Gable,76500,0,840.0,0,1910,1950,2010
1164,0,No,0.0,Gd,GLQ,0,Gd,Plywood,Plywood,TA,1,PConc,2,521.0,Unf,Attchd,1988.0,2060,1,TA,2Story,2074,TA,10029,Corner,97.0,IR1,268.0,BrkFace,60,RL,ClearCr,228,6,0,Gable,211000,192,1151.0,0,1988,1989,2007
1337,0,No,1.0,Gd,GLQ,0,Gd,MetalSd,MetalSd,None,0,PConc,2,511.0,Fin,Attchd,1998.0,1337,0,Ex,1Story,1039,Gd,4060,Inside,34.0,Reg,0.0,None,120,RH,NAmes,68,6,0,Gable,181000,0,1405.0,144,1998,1999,2008
1165,0,Gd,1.0,TA,Rec,0,TA,HdBoard,HdBoard,None,0,CBlock,1,490.0,RFn,Attchd,1966.0,1165,1,TA,SLvl,1210,TA,9020,Inside,82.0,Reg,183.0,BrkFace,80,RL,NAmes,129,6,0,Gable,174900,0,1127.0,0,1966,1966,2008
1320,0,Av,1.0,TA,LwQ,240,TA,VinylSd,VinylSd,Fa,2,CBlock,1,564.0,RFn,Attchd,1966.0,1320,0,Ex,SLvl,2710,TA,11777,Inside,96.0,IR1,97.0,BrkFace,80,RL,Sawyer,68,5,0,Gable,164500,0,1164.0,160,1966,1966,2006
1535,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,532.0,RFn,Attchd,2004.0,1535,0,Ex,1Story,44,Gd,10171,Inside,70.0,IR1,168.0,BrkFace,20,RL,NridgHt,0,7,0,Gable,214000,0,1517.0,0,2004,2004,2010
1277,0,Mn,0.0,Gd,Unf,0,TA,HdBoard,HdBoard,TA,1,CBlock,2,489.0,Unf,Attchd,1980.0,2044,1,TA,2Story,1026,TA,10400,Inside,80.0,Reg,280.0,BrkFace,60,RL,NWAmes,73,7,0,Gable,185000,0,738.0,28,1980,1988,2008
624,0,No,0.0,TA,BLQ,80,TA,MetalSd,MetalSd,None,0,PConc,1,336.0,Unf,Detchd,1990.0,1136,0,Ex,1.5Fin,1343,TA,6240,Inside,52.0,Reg,0.0,None,50,RM,BrkSide,365,4,0,Gable,123000,0,704.0,0,1929,1950,2008
1299,0,Av,1.0,Gd,GLQ,222,TA,HdBoard,Wd Shng,Po,1,CBlock,2,486.0,RFn,BuiltIn,1979.0,1299,0,TA,SFoyer,2248,Gd,12150,CulDSac,68.0,IR1,0.0,None,85,RL,Mitchel,0,6,0,Gable,183500,0,1001.0,84,1979,1979,2007
764,0,No,0.0,Gd,Unf,0,Gd,MetalSd,MetalSd,None,0,PConc,2,492.0,Unf,Detchd,1999.0,1441,1,Ex,2Story,1849,Gd,2645,Inside,24.0,Reg,456.0,BrkFace,160,FV,Somerst,0,8,0,Gable,174000,0,776.0,206,1999,2000,2007
1630,0,No,0.0,TA,Rec,0,TA,MetalSd,MetalSd,TA,1,CBlock,2,649.0,Unf,Detchd,1953.0,1630,0,TA,1Story,2076,TA,22692,Inside,68.0,IR1,0.0,None,20,RL,Edwards,64,5,0,Gable,130000,0,1073.0,0,1953,1953,2007
832,0,No,0.0,TA,LwQ,234,TA,Wd Sdng,Wd Sdng,Gd,1,BrkTil,1,546.0,Unf,Detchd,1925.0,1641,1,Ex,2Story,2641,Ex,9600,Inside,60.0,Reg,0.0,None,70,RM,OldTown,0,7,0,Gable,178000,0,728.0,0,1925,1990,2006
928,0,No,0.0,Gd,GLQ,0,TA,VinylSd,VinylSd,TA,1,PConc,2,482.0,Fin,Attchd,1997.0,1629,1,Gd,2Story,5,TA,13830,Inside,74.0,IR1,0.0,None,60,RL,Gilbert,34,5,0,Gable,189900,0,928.0,212,1997,1998,2010
848,0,Av,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,1,420.0,Fin,Attchd,2003.0,848,0,Ex,1Story,878,Gd,4435,Inside,68.0,Reg,170.0,BrkFace,120,RM,CollgCr,0,6,0,Gable,144000,0,848.0,140,2003,2004,2009
816,0,Av,0.0,TA,ALQ,96,Gd,Wd Sdng,Wd Sdng,None,0,BrkTil,1,432.0,Unf,Detchd,2002.0,816,0,Ex,1Story,1548,TA,5890,Corner,68.0,Reg,0.0,None,30,RM,IDOTRR,0,6,0,Gable,120500,0,816.0,0,1930,2007,2008
1097,0,No,0.0,Gd,Unf,0,TA,VinylSd,VinylSd,None,0,PConc,1,672.0,Unf,Attchd,1995.0,1097,1,Ex,1Story,841,TA,10859,Corner,112.0,Reg,0.0,None,20,RL,CollgCr,64,5,0,Gable,145000,0,1097.0,392,1994,1995,2009
1652,0,Av,1.0,Gd,GLQ,0,Gd,CemntBd,CmentBd,None,0,PConc,2,499.0,RFn,Attchd,2000.0,1652,0,Ex,1Story,1621,Ex,5330,Inside,41.0,Reg,0.0,None,120,RL,StoneBr,48,8,0,Gable,251000,0,1494.0,96,2000,2000,2007
1768,0,No,0.0,TA,Unf,0,TA,HdBoard,HdBoard,None,0,CBlock,2,0.0,None,None,0.0,1768,0,TA,1Story,218,TA,10778,Inside,72.0,Reg,0.0,None,90,RL,Sawyer,0,4,0,Hip,136500,0,1768.0,0,1968,1968,2010
1152,0,None,0.0,None,None,0,TA,WdShing,Wd Shng,None,0,Slab,2,0.0,None,None,0.0,1152,0,TA,1Story,1504,TA,6845,Inside,74.0,Reg,58.0,BrkCmn,90,RL,Edwards,0,4,0,Gable,82500,0,0.0,0,1955,1955,2008
810,0,None,0.0,None,None,0,Fa,Wd Sdng,Wd Sdng,None,0,CBlock,1,280.0,Unf,Detchd,1975.0,810,0,TA,1Story,946,TA,21780,Inside,109.0,Reg,0.0,None,30,I (all),IDOTRR,24,2,0,Gable,57625,0,0.0,119,1910,1950,2009
1358,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,484.0,RFn,Attchd,2008.0,1358,0,Ex,1Story,455,Gd,10307,Inside,80.0,IR1,176.0,Stone,120,RL,NridgHt,26,7,0,Gable,212500,0,1350.0,192,2007,2008,2009
1216,0,No,1.0,Ex,GLQ,0,TA,VinylSd,VinylSd,None,0,PConc,2,402.0,Unf,Attchd,1998.0,1216,0,Ex,1Story,2906,TA,4500,FR2,32.0,Reg,116.0,BrkFace,120,RM,Mitchel,125,6,0,Hip,164000,0,1216.0,0,1998,1998,2006
967,0,No,0.0,TA,Unf,0,TA,MetalSd,MetalSd,None,0,CBlock,2,384.0,Unf,Detchd,1957.0,1638,0,Gd,1.5Fin,2878,Gd,9060,Inside,75.0,Reg,327.0,BrkFace,50,RM,IDOTRR,21,6,0,Gable,139000,0,967.0,0,1957,1957,2006
624,0,No,1.0,Gd,BLQ,0,Gd,MetalSd,MetalSd,None,0,PConc,2,462.0,Unf,Detchd,1999.0,1252,1,Ex,2Story,1173,Gd,2160,Inside,24.0,Reg,212.0,BrkFace,160,FV,Somerst,48,7,0,Gable,160000,0,600.0,0,1999,2000,2008
883,0,Av,1.0,Gd,GLQ,0,TA,HdBoard,Wd Shng,Fa,1,PConc,1,698.0,Unf,Detchd,1998.0,883,0,TA,SFoyer,985,TA,7669,Inside,70.0,Reg,0.0,None,85,RL,Mitchel,32,5,0,Gable,149000,0,828.0,100,1992,1993,2009
874,0,No,1.0,TA,BLQ,0,TA,HdBoard,HdBoard,None,0,CBlock,1,288.0,RFn,Attchd,1968.0,874,0,TA,1Story,975,TA,9858,Inside,62.0,Reg,0.0,None,20,RL,Mitchel,0,5,0,Gable,130000,0,864.0,33,1968,1968,2009
902,0,No,0.0,TA,Unf,64,TA,Stucco,Stucco,None,0,BrkTil,2,480.0,Unf,Detchd,1990.0,1710,0,Gd,2Story,202,TA,10300,Inside,50.0,IR1,0.0,None,70,RM,OldTown,11,7,0,Gable,140000,0,576.0,12,1921,1950,2010
1836,0,No,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,517.0,Fin,Attchd,2009.0,1836,0,Ex,1Story,528,Gd,8125,Corner,65.0,Reg,288.0,BrkFace,20,FV,Somerst,175,8,0,Hip,264500,0,1836.0,0,2008,2009,2009
1092,0,No,1.0,TA,Rec,0,TA,Wd Sdng,Wd Sdng,TA,1,CBlock,1,299.0,Fin,Attchd,1957.0,1092,0,TA,1Story,2579,TA,14850,Inside,69.0,IR1,0.0,None,20,RL,NAmes,0,5,0,Gable,141000,122,1092.0,268,1957,1957,2006
1241,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,1,569.0,Fin,Attchd,2007.0,1241,1,Ex,1Story,1841,Gd,4274,Inside,35.0,IR1,0.0,None,120,FV,Somerst,116,7,0,Gable,199900,0,1241.0,0,2006,2007,2007
1334,0,No,0.0,Gd,ALQ,0,TA,Plywood,Plywood,TA,1,CBlock,2,630.0,RFn,Attchd,1977.0,1334,0,TA,1Story,591,TA,9650,Inside,80.0,Reg,360.0,BrkFace,20,RL,NWAmes,16,6,0,Gable,167900,0,1350.0,0,1977,1977,2009
1429,0,No,0.0,TA,BLQ,0,TA,Wd Sdng,Wd Sdng,Gd,2,CBlock,1,572.0,Unf,Attchd,1960.0,1429,0,Ex,1Story,1897,Gd,14585,CulDSac,68.0,IR1,85.0,BrkFace,20,RL,NAmes,110,6,0,Gable,181900,0,1144.0,216,1960,1987,2007
1566,0,Av,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,750.0,RFn,Attchd,2008.0,1566,0,Ex,1Story,70,Gd,9000,Inside,75.0,Reg,36.0,Stone,20,FV,Somerst,168,8,0,Gable,262500,0,1566.0,144,2008,2008,2010
1316,0,No,0.0,Gd,GLQ,0,TA,HdBoard,HdBoard,TA,2,PConc,1,520.0,RFn,Attchd,1977.0,2288,2,Ex,2Story,590,Gd,13774,Inside,68.0,IR1,283.0,BrkFace,60,RL,NWAmes,72,7,0,Hip,230000,156,908.0,321,1977,1992,2009
1709,0,Av,1.0,Ex,GLQ,0,Gd,MetalSd,MetalSd,TA,1,PConc,2,506.0,Fin,Attchd,1999.0,1709,0,Ex,1Story,1172,Gd,5119,CulDSac,50.0,IR1,60.0,BrkFace,120,FV,Somerst,65,9,0,Gable,328900,0,1698.0,97,1999,2000,2008
1721,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,554.0,RFn,Attchd,2005.0,1721,0,Ex,1Story,1714,Gd,9254,Inside,71.0,IR1,210.0,BrkFace,20,RL,NridgHt,27,8,0,Gable,232698,0,1721.0,168,2005,2005,2007
1254,0,Av,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,810.0,RFn,Attchd,2008.0,1254,0,Ex,1Story,829,Gd,10324,Corner,95.0,IR1,140.0,BrkFace,20,RL,CollgCr,92,8,0,Gable,221800,0,1254.0,168,2008,2008,2009
864,0,No,1.0,TA,ALQ,0,TA,Wd Sdng,Wd Sdng,None,0,BrkTil,1,627.0,Unf,2Types,1973.0,1350,1,Gd,1.5Fin,1397,Gd,8375,Corner,63.0,Reg,0.0,None,50,RL,Sawyer,0,5,0,Gable,152400,0,576.0,0,1941,1973,2008
1630,0,No,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,TA,1,PConc,2,451.0,Unf,Attchd,2000.0,1630,0,Ex,1Story,877,Gd,9750,Inside,75.0,Reg,171.0,BrkFace,20,RL,CollgCr,234,7,0,Gable,213000,0,1630.0,74,2000,2001,2009
831,0,No,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,None,0,PConc,2,449.0,RFn,Attchd,2005.0,1585,1,Ex,2Story,2477,Gd,7632,Inside,74.0,IR1,96.0,BrkFace,60,RL,SawyerW,77,7,0,Gable,184900,0,784.0,100,2005,2005,2006
1336,0,Mn,1.0,TA,BLQ,0,TA,MetalSd,MetalSd,Gd,2,CBlock,1,375.0,Unf,Attchd,1953.0,1336,0,TA,1Story,2871,TA,15750,Corner,90.0,Reg,56.0,BrkFace,190,RL,Crawfor,0,5,0,Hip,157000,0,1165.0,0,1953,1953,2006
1211,0,No,0.0,TA,BLQ,0,TA,HdBoard,HdBoard,TA,1,CBlock,1,576.0,Unf,Detchd,1972.0,1211,0,Gd,1Story,2489,TA,9240,Inside,68.0,IR1,0.0,None,20,RL,Sawyer,0,5,0,Hip,144000,0,864.0,161,1962,2002,2006
1353,0,No,1.0,Gd,GLQ,0,TA,MetalSd,MetalSd,TA,1,CBlock,2,478.0,RFn,Attchd,1979.0,1353,0,Ex,1Story,1655,TA,10400,Inside,80.0,Reg,253.0,BrkFace,20,RL,NWAmes,141,6,0,Gable,192350,0,1259.0,240,1979,1999,2007
1200,0,No,0.0,TA,BLQ,0,TA,HdBoard,Plywood,TA,1,CBlock,2,440.0,RFn,Attchd,1966.0,1200,0,Ex,1Story,1891,TA,8800,Inside,80.0,Reg,202.0,BrkFace,20,RL,NAmes,0,7,0,Hip,163500,0,1174.0,0,1966,1966,2007
1532,0,No,1.0,Gd,GLQ,0,TA,HdBoard,HdBoard,Ex,1,PConc,2,514.0,Unf,Attchd,1990.0,2329,1,Ex,2Story,1419,Gd,11839,Inside,86.0,Reg,99.0,BrkFace,60,RL,SawyerW,121,7,0,Hip,262280,0,1475.0,192,1990,1990,2008
1536,0,Av,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,532.0,RFn,Attchd,2002.0,1536,0,Ex,1Story,1473,Gd,9135,Inside,70.0,Reg,113.0,BrkFace,20,RL,CollgCr,74,7,0,Gable,214000,0,1536.0,192,2002,2003,2008
1811,0,No,0.0,TA,ALQ,280,TA,Stone,Stone,Gd,1,PConc,1,470.0,Fin,Attchd,1956.0,1811,0,Ex,1Story,2868,Ex,14115,Inside,90.0,IR1,0.0,None,20,RL,Crawfor,0,6,0,Gable,230000,0,1073.0,0,1956,2004,2006
1071,0,No,0.0,Ex,Unf,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,947.0,RFn,Attchd,2006.0,2172,1,Ex,2Story,1695,Gd,14154,Corner,109.0,Reg,350.0,BrkFace,60,RL,NridgHt,62,7,0,Gable,280000,0,1063.0,192,2006,2006,2007
1073,0,No,1.0,TA,GLQ,0,TA,MetalSd,MetalSd,None,0,CBlock,1,720.0,Unf,Detchd,1985.0,1073,0,Gd,1Story,2244,TA,6565,Corner,65.0,Reg,0.0,None,20,C (all),IDOTRR,444,4,0,Gable,140000,0,1073.0,0,1957,1980,2007
1051,0,No,0.0,TA,Unf,216,TA,MetalSd,MetalSd,TA,1,CBlock,1,442.0,Unf,Attchd,1966.0,1839,1,TA,2Story,169,TA,7700,Inside,70.0,Reg,351.0,BrkFace,60,RL,NAmes,124,6,0,Gable,155000,0,756.0,0,1966,1966,2010
1020,0,No,0.0,TA,Unf,105,Fa,Wd Sdng,Wd Sdng,None,0,BrkTil,1,0.0,None,None,0.0,1020,0,Fa,1.5Unf,2670,Fa,4761,Corner,63.0,Reg,0.0,None,50,C (all),IDOTRR,0,3,0,Gable,64500,0,1020.0,0,1918,1950,2006
964,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,1017.0,RFn,2Types,2000.0,1802,1,Ex,2Story,247,Gd,12361,CulDSac,87.0,IR1,85.0,BrkFace,60,RL,SawyerW,92,6,0,Gable,218000,0,946.0,450,1993,1993,2010
1009,0,Av,0.0,TA,ALQ,0,TA,Plywood,VinylSd,Fa,1,CBlock,2,576.0,Unf,Detchd,1977.0,1009,0,TA,SLvl,2137,TA,9720,Inside,72.0,Reg,51.0,BrkFace,80,RL,CollgCr,0,5,0,Gable,160000,0,995.0,0,1977,1977,2007
1338,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,598.0,RFn,Attchd,2007.0,1338,0,Ex,1Story,1794,Gd,8640,Inside,72.0,Reg,0.0,None,20,FV,Somerst,141,8,0,Gable,208900,0,1338.0,0,2007,2007,2007
703,0,No,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,None,0,PConc,2,540.0,Unf,Detchd,2007.0,1392,0,Ex,2Story,1164,Gd,3180,Inside,30.0,Reg,0.0,None,160,FV,Somerst,102,7,0,Gable,146000,0,689.0,0,2007,2007,2008
1288,0,No,1.0,Gd,GLQ,0,Gd,BrkFace,BrkFace,Gd,2,PConc,1,500.0,Fin,Attchd,1996.0,1288,1,Ex,1Story,1179,Ex,14963,Inside,38.0,IR2,0.0,None,120,RL,Veenker,30,8,0,Gable,245500,224,1260.0,120,1996,1996,2008
1013,0,No,0.0,TA,Unf,101,TA,MetalSd,MetalSd,None,0,BrkTil,1,160.0,Unf,Detchd,1926.0,1013,0,Ex,1.5Unf,1340,TA,5000,Inside,50.0,Reg,0.0,None,45,RM,BrkSide,0,6,0,Gable,113000,0,992.0,0,1926,1950,2008
1782,0,Gd,1.0,Ex,GLQ,0,Gd,VinylSd,VinylSd,Gd,2,PConc,2,932.0,Fin,Attchd,2004.0,1782,0,Ex,1Story,436,Gd,16870,FR3,129.0,IR1,238.0,BrkFace,20,RL,NridgHt,82,8,0,Hip,296000,0,1782.0,99,2004,2005,2009
1922,0,Gd,1.0,Ex,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,676.0,Fin,Attchd,2005.0,1922,0,Ex,1Story,1636,Gd,14157,Corner,86.0,IR1,200.0,Stone,20,RL,StoneBr,51,9,0,Hip,377426,0,1922.0,178,2005,2006,2007
1718,0,Gd,1.0,Ex,GLQ,0,Ex,CemntBd,CmentBd,Gd,1,PConc,2,786.0,Fin,Attchd,2008.0,1718,0,Ex,1Story,421,Ex,12456,FR2,96.0,Reg,230.0,Stone,20,RL,NridgHt,48,10,0,Hip,337500,0,1700.0,216,2006,2007,2009
2492,0,Gd,1.0,Ex,GLQ,0,Ex,CemntBd,CmentBd,Ex,1,PConc,2,949.0,Fin,Attchd,2004.0,2492,1,Ex,1Story,457,Ex,14836,Inside,100.0,IR1,730.0,Stone,20,RL,NridgHt,235,10,0,Hip,552000,0,2492.0,226,2004,2005,2009
624,0,Mn,0.0,Fa,Unf,0,TA,VinylSd,VinylSd,None,0,CBlock,1,265.0,Unf,Attchd,1948.0,936,0,Ex,1.5Fin,2834,TA,6956,Inside,56.0,Reg,0.0,None,50,RL,Edwards,0,4,0,Gable,97900,0,624.0,0,1948,1950,2006
1218,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,676.0,Fin,Attchd,2009.0,1218,0,Ex,1Story,517,Gd,7862,Inside,75.0,IR1,0.0,None,20,FV,Somerst,102,6,0,Gable,208300,0,1218.0,0,2009,2009,2009
910,0,Mn,0.0,Gd,Unf,0,TA,VinylSd,VinylSd,TA,1,PConc,2,816.0,Unf,Attchd,1996.0,1820,1,Ex,2Story,1566,Gd,11050,Inside,68.0,Reg,0.0,None,60,RL,Mitchel,32,7,0,Gable,213000,0,910.0,318,1996,1997,2008
880,0,Av,0.0,Gd,Unf,0,TA,VinylSd,VinylSd,None,0,PConc,2,527.0,Fin,Attchd,1998.0,1724,1,Ex,2Story,1439,Gd,8924,CulDSac,57.0,IR1,0.0,None,60,RL,CollgCr,155,7,0,Gable,188000,0,880.0,120,1998,1999,2008
1336,0,No,0.0,TA,Rec,0,TA,Wd Sdng,Wd Sdng,TA,1,CBlock,1,488.0,RFn,Attchd,1958.0,1336,1,Ex,1Story,2577,TA,9610,Corner,68.0,IR1,632.0,BrkFace,20,RL,NAmes,0,6,0,Hip,162000,0,1121.0,80,1958,1958,2006
910,0,No,0.0,TA,BLQ,0,TA,Wd Sdng,Wd Sdng,None,0,CBlock,1,282.0,Unf,Attchd,1950.0,1558,1,TA,1.5Fin,2241,TA,13710,Inside,75.0,Reg,0.0,None,50,RM,IDOTRR,0,5,0,Gable,152000,0,910.0,289,1950,1950,2007
991,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,678.0,RFn,Attchd,2004.0,1947,1,Ex,2Story,71,Gd,12552,Corner,100.0,Reg,0.0,None,60,FV,Somerst,136,7,0,Gable,254900,0,991.0,0,2004,2005,2010
832,0,Av,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,483.0,RFn,Attchd,1994.0,1657,1,Ex,2Story,1143,Gd,14565,CulDSac,43.0,IR2,145.0,BrkFace,60,RL,SawyerW,74,7,0,Gable,189000,0,832.0,144,1994,1995,2008
2064,0,No,1.0,Gd,GLQ,0,Gd,Plywood,Plywood,Fa,2,CBlock,2,550.0,Fin,Attchd,1978.0,2064,0,TA,1Story,1021,Gd,18559,CulDSac,56.0,IR1,383.0,BrkFace,20,RL,NWAmes,0,7,0,Hip,235000,0,2048.0,200,1978,1978,2008
1164,0,No,1.0,TA,ALQ,0,TA,MetalSd,MetalSd,None,0,CBlock,1,240.0,Unf,Detchd,1950.0,1164,0,TA,1Story,1416,TA,10880,Inside,68.0,Reg,0.0,None,190,RL,Edwards,48,5,0,Gable,125000,0,1164.0,0,1950,1950,2008
836,0,No,0.0,Gd,Unf,0,TA,Plywood,Brk Cmn,None,0,CBlock,1,308.0,Unf,Attchd,1975.0,836,0,Ex,1Story,35,TA,2280,FR2,24.0,Reg,0.0,None,120,RL,NPkVill,30,7,0,Gable,120000,0,836.0,0,1975,1975,2010
1600,0,None,0.0,None,None,135,TA,CBlock,VinylSd,None,0,CBlock,1,270.0,Unf,Attchd,1951.0,1600,1,TA,1Story,2904,TA,31250,Inside,125.0,Reg,0.0,None,20,A (agr),Mitchel,0,1,0,Gable,81500,0,0.0,0,1951,1951,2006
816,0,Av,1.0,Gd,GLQ,0,TA,HdBoard,HdBoard,None,0,CBlock,1,0.0,None,None,0.0,816,0,TA,SFoyer,2174,TA,11841,Inside,81.0,Reg,104.0,BrkFace,90,RL,Edwards,32,6,0,Gable,118500,0,816.0,0,1990,1990,2007
1766,0,Mn,1.0,Ex,GLQ,0,Ex,CemntBd,CmentBd,Gd,1,PConc,2,478.0,Fin,Attchd,2009.0,1766,1,Ex,1Story,522,Ex,9187,Inside,85.0,Reg,162.0,Stone,20,FV,Somerst,130,9,0,Gable,370878,0,1766.0,195,2009,2009,2009
1001,0,No,0.0,TA,BLQ,0,TA,MetalSd,MetalSd,None,0,CBlock,2,871.0,Unf,2Types,1949.0,2002,0,TA,2Story,2211,TA,6270,Inside,82.0,Reg,0.0,None,90,RH,Crawfor,0,5,0,Gable,145000,0,1001.0,0,1949,1950,2007
1137,0,No,0.0,TA,BLQ,150,Gd,VinylSd,VinylSd,TA,2,CBlock,1,431.0,Unf,Attchd,1939.0,1954,1,Ex,1.5Fin,1539,Gd,15660,Corner,68.0,IR1,312.0,BrkFace,50,RL,Crawfor,119,7,0,Gable,311500,0,798.0,0,1939,2006,2008
1364,0,Av,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,437.0,Fin,Attchd,2006.0,1364,0,Ex,1Story,2420,Gd,3087,Inside,43.0,Reg,14.0,BrkFace,120,RL,Blmngtn,16,7,0,Gable,210250,0,1220.0,100,2006,2006,2006
920,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,492.0,RFn,BuiltIn,2002.0,1861,1,Ex,2Story,2779,Gd,13450,Corner,95.0,IR1,0.0,None,60,RL,CollgCr,91,7,0,Gable,200000,0,916.0,146,2002,2002,2006
1302,0,None,0.0,None,None,0,TA,Plywood,Plywood,None,0,CBlock,2,539.0,Unf,Attchd,1977.0,1734,0,TA,1.5Fin,953,Gd,10125,Inside,75.0,Reg,0.0,None,90,RL,Mitchel,0,5,0,Gable,126000,0,0.0,0,1977,1977,2009
717,0,No,0.0,Fa,Unf,168,Gd,MetalSd,MetalSd,None,0,BrkTil,1,281.0,Unf,Detchd,1940.0,1039,0,Gd,2Story,658,TA,8146,Corner,80.0,Reg,0.0,None,70,RL,OldTown,0,4,0,Gable,114000,111,405.0,0,1900,2003,2009
833,0,No,0.0,Fa,Unf,160,Gd,VinylSd,VinylSd,None,0,BrkTil,2,720.0,Unf,Detchd,1974.0,1510,0,TA,2Story,714,Gd,9600,Inside,60.0,Reg,0.0,None,70,RM,OldTown,0,4,0,Gable,87500,0,677.0,0,1910,1950,2009
1164,0,Mn,1.0,Ex,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,3,729.0,Fin,BuiltIn,2005.0,2541,1,Ex,2Story,1637,Ex,12328,Inside,98.0,IR1,146.0,Stone,60,RL,StoneBr,32,8,0,Hip,349265,0,1149.0,120,2005,2005,2007
1512,0,Gd,0.0,Gd,BLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,845.0,RFn,Attchd,2004.0,1512,0,Ex,1Story,538,Gd,10141,Inside,76.0,IR1,264.0,BrkFace,20,RL,SawyerW,36,8,0,Gable,203000,0,1512.0,210,2004,2004,2009
1434,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,TA,1,PConc,2,527.0,RFn,Attchd,2001.0,1434,0,Ex,1Story,546,Gd,8529,Inside,65.0,IR1,0.0,None,20,RL,SawyerW,39,7,0,Gable,189000,0,1454.0,290,2001,2001,2009
812,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,628.0,RFn,Attchd,2003.0,1653,1,Ex,2Story,533,Gd,8127,Inside,65.0,IR1,0.0,None,60,FV,Somerst,45,7,0,Gable,209000,0,812.0,0,2003,2003,2009
1090,0,Mn,0.0,Fa,Unf,0,TA,Stucco,BrkFace,None,0,BrkTil,2,357.0,Unf,Detchd,1930.0,2007,0,Gd,2Story,718,Ex,8400,Corner,70.0,Reg,0.0,None,70,RM,OldTown,235,6,0,Gable,160000,0,917.0,0,1900,1950,2009
1037,0,Gd,1.0,Fa,ALQ,0,TA,Plywood,Plywood,None,0,CBlock,1,431.0,RFn,Attchd,1974.0,1037,0,TA,1Story,1830,TA,10751,CulDSac,44.0,IR1,44.0,BrkFace,20,RL,Sawyer,47,5,0,Gable,129000,0,1037.0,136,1974,1974,2007
1389,0,Av,1.0,Gd,ALQ,0,TA,HdBoard,HdBoard,TA,1,CBlock,1,418.0,RFn,Attchd,1975.0,1389,0,Gd,1Story,2929,TA,10010,Inside,77.0,Reg,0.0,None,20,RL,Mitchel,38,5,0,Gable,170000,0,1389.0,240,1974,1975,2006
